method	path
GET	/healthz
GET	/
GET	/index/swagger
GET	/index/swagger/
GET	/index/openapi.yaml
GET	/index/openapi-lfs.yaml
GET	/index/openapi-bucket.yaml
GET	/index/openapi-internal.yaml
GET	/index/error.openapi.yaml
GET	/ga4gh/drs/v1/objects/checksum/:checksum
GET	/ga4gh/drs/v1/objects/:object_id
GET	/ga4gh/drs/v1/objects/:object_id/access/:access_id
GET	/ga4gh/drs/v1/service-info
GET	/
GET	/index/v1/metrics/files
GET	/index/v1/metrics/files/:object_id
GET	/index/v1/metrics/summary
GET	/index/v1/metrics/transfers/breakdown
GET	/index/v1/metrics/transfers/summary
GET	/data/download/:file_id
GET	/data/download/:file_id/part
GET	/data/inspect/project-scopes
GET	/data/upload/:file_id
GET	/index
GET	/index/:id
GET	/data/buckets
GET	/data/buckets/:bucket/scopes
GET	/
HEAD	/
POST	/
POST	/ga4gh/drs/v1/objects
POST	/ga4gh/drs/v1/objects/access
POST	/ga4gh/drs/v1/objects/register
POST	/ga4gh/drs/v1/objects/:object_id
POST	/ga4gh/drs/v1/objects/:object_id/access/:access_id
POST	/ga4gh/drs/v1/upload-request
POST	/
POST	/index/v1/metrics/files/bulk
POST	/index/v1/metrics/provider-transfer-events
POST	/data/inspect/project-bucket/inventory
POST	/data/inspect/project-scopes
POST	/data/multipart/complete
POST	/data/multipart/init
POST	/data/multipart/upload
POST	/data/upload
POST	/data/upload/bulk
POST	/index
POST	/index/bulk
POST	/index/bulk/delete
POST	/index/bulk/documents
POST	/index/bulk/hashes
POST	/index/bulk/sha256/missing
POST	/index/bulk/sha256/validity
POST	/index/:id/controlled-access/remove
POST	/data/repair/project-scope/audit
POST	/data/repair/project-scope/apply
POST	/data/inspect
POST	/data/inspect/bulk
POST	/data/inspect/bulk-list
POST	/data/inspect/project-bucket
POST	/data/inspect/project-records
POST	/data/inspect/project-bucket/delete
POST	/data/buckets/:bucket/scopes
POST	/
POST	/info/lfs/objects/batch
POST	/info/lfs/objects/metadata
POST	/info/lfs/verify
PUT	/
PUT	/ga4gh/drs/v1/objects/access-methods
PUT	/ga4gh/drs/v1/objects/checksums
PUT	/ga4gh/drs/v1/objects/delete
PUT	/ga4gh/drs/v1/objects/:object_id/access-methods
PUT	/ga4gh/drs/v1/objects/:object_id/checksums
PUT	/ga4gh/drs/v1/objects/:object_id/delete
PUT	/
PUT	/index/bulk/overwrite
PUT	/index/:id
PUT	/data/buckets
PUT	/
PUT	/info/lfs/objects/:oid
DELETE	/
DELETE	/index
DELETE	/index/:id
DELETE	/data/buckets/:bucket
DELETE	/data/buckets/:bucket/scopes
DELETE	/data/projects/:organization/:project_id
DELETE	/
CONNECT	/
OPTIONS	/
OPTIONS	/ga4gh/drs/v1/objects
OPTIONS	/ga4gh/drs/v1/objects/:object_id
OPTIONS	/
TRACE	/
PATCH	/
QUERY	/
